,0
227,0.204
228,0.191
229,0.024
230,0.175
231,0.133
232,0.031
233,0.023
234,0.108
235,0.546
236,0.252
237,0.278
238,0.084
239,0.194
240,0.223
241,0.281
242,0.159
243,0.215
244,0.125
245,0.043
246,0.044
247,1.863
248,0.102
249,0.133
250,0.273
251,0.015
252,0.229
253,0.13
254,0.048
255,0.072
256,0.173
257,0.153
258,0.254
259,0.353
260,0.24
261,0.661
262,0.013
263,0.102
264,0.013
265,0.297
266,0.184
267,0.157
268,0.25
269,0.18
270,0.105
271,0.104
272,0.102
273,0.177
274,0.019
275,0.266
276,0.092
277,0.141
278,0.245
279,0.067
280,0.104
281,0.276
282,0.222
283,1.416
284,0.023
285,0.093
286,0.275
287,0.053
288,0.01
289,0.002
290,0.274
291,0.241
292,0.23
293,0.119
294,0.167
295,0.136
296,0.042
297,0.254
298,0.18
299,0.12
300,0.241
301,0.882
302,0.052
303,0.005
304,0.241
305,0.097
306,0.086
307,0.105
308,0.19
309,0.075
310,2.984
311,0.089
312,0.112
313,0.122
314,0.009
315,0.299
316,2.532
317,0.288
318,0.241
319,1.873
320,1.896
321,0.235
322,2.626
323,0.27
324,0.307
325,0.251
326,0.099
327,0.052
328,0.109
329,0.09
330,0.052
331,0.235
332,0.128
333,0.213
334,0.202
335,0.223
336,0.116
337,0.257
338,0.033
339,0.211
340,0.019
341,0.24
342,0.11
343,0.204
344,0.114
345,0.223
346,0.09
347,0.179
348,0.048
349,0.021
350,0.216
351,0.246
352,0.183
353,0.036
354,0.189
355,0.199
356,0.265
357,0.243
358,0.08
359,0.04
360,0.132
361,0.265
362,0.062
363,0.207
364,1.094
365,2.833
366,0.275
367,0.16
368,0.189
369,0.252
370,0.129
371,0.068
372,0.071
373,0.259
374,0.007
375,0.26
376,0.113
377,0.268
378,0.181
379,0.228
380,0.327
381,0.204
382,0.133
383,3.251
384,0.093
385,0.302
386,0.209
387,0.155
388,0.204
389,0.234
390,0.22
391,0.359
392,0.202
393,0.072
394,0.096
395,0.126
396,0.078
397,0.25
398,0.08
399,0.247
400,0.115
401,0.129
402,0.209
403,2.874
404,0.167
405,0.32
406,0.233
407,0.116
408,0.022
409,0.278
410,0.029
411,0.235
412,0.089
413,0.033
414,0.307
415,0.057
416,0.156
417,0.661
418,0.018
419,0.014
420,0.062
421,0.219
422,0.196
423,0.227
424,0.269
425,1.389
426,0.008
427,0.234
428,0.318
429,0.176
430,0.201
431,0.168
432,0.063
433,0.03
434,2.161
435,0.191
436,0.073
437,0.217
438,0.13
439,0.258
440,0.266
441,0.031
442,0.199
443,0.14
444,0.228
445,0.211
446,0.159
447,0.161
448,0.018
449,0.038
450,0.031
451,0.258
452,0.237
453,0.186
454,0.064
455,0.142
456,0.216
457,0.092
458,0.052
459,0.944
460,0.003
461,0.126
462,1.579
463,0.368
464,0.273
465,0.067
466,0.013
467,0.142
468,0.19
469,0.357
470,0.147
471,0.176
472,0.278
473,0.131
474,0.251
475,0.079
476,0.062
477,0.368
478,0.298
479,0.053
480,0.232
481,0.228
482,0.161
483,0.111
484,0.099
485,0.03
486,0.116
487,0.191
488,0.05
489,0.29
490,0.106
491,0.278
492,0.048
493,0.158
494,1.716
495,0.256
496,0.03
497,0.276
498,0.066
499,0.221
500,0.139
501,0.024
502,0.181
503,2.049
504,0.017
505,0.065
506,0.238
507,0.073
508,0.11
509,0.293
510,0.156
511,0.022
512,0.134
513,0.125
514,1.283
515,2.341
516,0.254
517,0.082
518,0.105
519,0.042
520,0.043
521,0.163
522,0.276
523,0.019
524,0.274
525,0.02
526,2.472
527,0.159
528,0.171
529,0.207
530,0.009
531,0.273
532,0.258
533,0.279
534,0.277
535,0.217
536,0.101
537,0.036
538,0.104
539,0.122
540,0.009
541,0.191
542,0.077
543,0.162
544,0.233
545,0.098
546,0.107
547,0.071
548,0.051
549,0.015
550,0.22
551,1.879
552,0.1
553,0.12
554,0.281
555,0.232
556,0.019
557,0.013
558,3.146
559,0.318
560,1.346
561,0.167
562,0.015
563,0.103
564,0.171
565,0.26
566,0.067
567,0.068
568,0.083
569,0.051
570,0.081
571,0.352
572,0.326
573,0.106
574,1.478
575,0.242
576,0.186
577,0.077
578,0.144
579,0.233
580,0.045
581,0.236
582,0.193
583,0.264
584,0.119
585,0.017
586,0.091
587,0.207
588,0.168
589,0.17
590,0.033
591,0.171
592,1.37
593,0.439
594,0.032
595,0.349
596,2.73
597,2.303
598,0.082
599,0.082
600,0.132
601,0.273
602,0.285
603,0.142
604,0.184
605,2.415
606,0.07
607,0.188
608,0.208
609,0.247
610,0.124
611,0.16
612,0.123
613,0.606
614,0.074
615,0.041
616,0.24
617,0.204
618,0.255
619,0.151
620,0.226
621,0.112
622,0.246
623,0.171
624,0.217
625,0.196
626,0.056
627,0.169
628,0.131
629,0.017
630,0.062
631,0.201
632,0.245
633,0.334
634,0.215
635,0.243
636,0.298
637,0.27
638,0.337
639,0.272
640,0.113
641,0.329
642,1.369
643,0.236
644,0.118
645,0.112
646,0.098
647,0.003
648,0.112
649,0.035
650,0.047
651,0.103
652,1.852
653,0.13
654,0.08
655,0.063
656,0.017
657,0.189
658,0.153
659,0.026
660,0.214
661,0.171
662,0.148
663,0.961
664,0.345
665,0.075
666,0.689
667,0.142
668,0.119
669,0.287
670,0.229
671,0.222
672,0.127
673,0.184
674,0.023
675,0.083
676,0.089
677,0.028
678,0.302
679,0.231
680,0.237
681,0.2
682,0.076
683,0.163
684,0.192
685,0.052
686,0.262
687,0.196
688,0.25
689,0.059
690,0.012
691,0.018
692,0.15
693,0.091
694,0.125
695,0.194
696,0.079
697,0.283
698,0.049
699,0.286
700,0.254
701,0.053
702,0.271
703,0.095
704,0.224
705,0.228
706,0.165
707,0.076
708,0.091
709,1.373
710,0.215
711,0.098
712,0.09
713,0.101
714,0.258
715,3.03
716,0.281
717,0.117
718,0.352
719,0.296
720,0.166
721,0.059
722,0.076
723,0.246
724,0.128
725,0.069
726,0.192
727,0.326
728,0.047
729,0.045
730,0.246
731,0.028
732,0.025
733,0.231
734,0.066
735,0.257
736,0.198
737,0.207
738,0.097
739,0.13
740,0.124
741,0.424
742,0.124
743,0.291
744,0.101
745,0.205
746,0.07
747,0.014
748,0.053
749,0.038
750,1.358
751,0.246
752,0.143
753,0.207
754,0.003
755,0.112
756,0.081
757,0.157
758,0.146
759,0.107
760,0.187
761,1.337
762,0.06
763,0.224
764,0.237
765,0.043
766,0.031
767,0.01
768,0.195
769,0.113
770,0.148
771,0.205
772,0.176
773,0.071
774,0.004
775,0.015
776,0.187
777,0.034
778,0.148
779,0.111
780,0.178
781,0.022
782,0.044
783,0.179
784,0.149
785,0.004
786,3.096
787,0.196
788,2.717
789,0.103
790,1.546
791,0.152
792,0.105
793,0.16
794,0.082
795,0.059
796,0.08
797,0.151
798,0.169
799,0.114
800,0.203
801,0.134
802,1.239
803,0.243
804,0.041
805,0.726
806,0.207
807,0.069
808,0.027
809,0.159
810,0.019
811,0.106
812,0.242
813,0.251
814,0.085
815,0.127
816,0.198
817,0.032
818,1.842
819,0.149
820,0.184
821,0.196
822,0.2
823,0.106
824,0.127
825,0.141
826,0.062
827,0.061
828,0.168
829,0.004
830,0.181
831,0.056
832,0.163
833,0.099
834,0.184
835,0.075
836,0.189
837,0.086
838,0.167
839,0.127
840,0.152
841,0.02
842,0.166
843,0.069
844,0.035
845,0.055
846,0.127
847,0.206
848,0.095
849,0.003
850,0.428
851,0.087
852,0.09
853,0.001
854,0.206
855,0.084
856,0.029
857,0.018
858,0.144
859,0.217
860,0.233
861,0.262
862,0.813
863,0.027
864,0.09
865,0.202
866,0.099
867,0.149
868,0.077
869,0.198
870,0.074
871,0.065
872,0.006
873,0.219
874,0.015
875,0.053
876,0.104
877,0.206
878,0.112
879,0.221
880,0.196
881,0.08
882,0.042
883,0.031
884,3.146
885,2.565
886,0.254
887,0.008
888,0.198
889,0.144
890,0.082
891,0.191
892,0.172
893,0.078
894,1.312
895,0.296
896,0.365
897,0.051
898,0.189
899,0.169
900,0.174
901,0.067
902,0.085
903,0.077
904,0.162
905,0.05
906,0.024
907,0.208
908,0.122
909,0.05
910,0.066
911,0.022
912,0.28
913,0.068
914,0.006
915,0.005
916,0.051
917,3.277
918,0.08
919,0.243
920,0.134
921,2.813
922,0.13
923,0.197
924,0.154
925,0.11
926,0.208
927,0.061
928,0.101
929,0.077
930,0.132
931,0.041
932,0.04
933,0.283
934,0.209
935,0.163
936,0.093
937,0.177
938,0.147
939,1.81
940,0.093
941,0.076
942,0.059
943,0.19
944,2.844
945,0.012
946,0.132
947,1.06
948,0.221
949,0.161
950,0.084
951,0.213
952,2.403
953,0.051
954,0.114
955,0.058
956,0.238
957,0.171
958,0.246
959,0.135
960,0.032
961,0.088
962,0.042
963,0.18
964,0.206
965,0.059
966,0.176
967,0.146
968,0.087
969,0.114
970,0.135
971,0.038
972,2.543
973,0.13
974,0.118
975,0.102
976,0.175
977,0.107
978,0.202
979,0.185
980,1.221
981,0.071
982,0.026
983,0.008
984,0.047
985,0.189
986,0.186
987,0.048
988,0.192
989,1.698
990,0.042
991,0.186
992,0.116
993,0.163
994,0.113
995,0.063
996,0.198
997,0.044
998,0.068
999,1.346
1000,0.093
1001,0.092
1002,0.189
1003,0.095
1004,0.968
1005,0.085
1006,0.145
1007,0.075
1008,0.188
1009,0.133
1010,0.083
1011,0.029
1012,0.117
1013,0.099
1014,0.118
1015,0.287
1016,0.072
1017,0.204
1018,0.211
1019,0.166
1020,0.197
1021,0.097
1022,0.012
1023,0.137
1024,0.095
1025,0.191
1026,0.04
1027,0.108
1028,0.049
1029,0.184
1030,0.128
1031,0.206
1032,1.364
1033,0.163
1034,0.2
1035,0.089
1036,0.133
1037,0.15
1038,0.2
1039,0.299
1040,0.043
1041,0.146
1042,0.221
1043,0.059
1044,0.18
1045,0.207
1046,2.328
1047,0.148
1048,0.193
1049,0.222
1050,0.032
1051,0.062
1052,0.228
1053,0.258
1054,0.173
1055,0.126
1056,0.185
1057,0.197
1058,0.194
1059,0.161
1060,0.098
1061,0.007
1062,0.059
1063,0.137
1064,0.01
1065,0.065
1066,0.167
1067,0.222
1068,0.18
1069,0.107
1070,0.687
1071,0.048
1072,0.118
1073,0.031
1074,0.156
1075,0.192
1076,0.22
1077,0.254
1078,0.267
1079,0.17
1080,0.079
1081,0.151
1082,0.04
1083,0.086
1084,0.168
1085,0.159
1086,0.177
1087,0.171
1088,0.18
1089,0.057
1090,0.015
1091,0.078
1092,0.03
1093,0.101
1094,0.068
1095,0.093
1096,0.179
1097,0.152
1098,0.011
1099,0.293
1100,0.724
1101,0.206
1102,0.156
1103,0.144
1104,0.125
1105,0.122
1106,0.119
1107,0.158
1108,0.107
1109,0.191
1110,0.092
1111,0.132
1112,0.116
1113,0.216
1114,0.069
1115,0.051
1116,0.162
1117,0.108
1118,0.215
1119,0.019
1120,0.106
1121,0.04
1122,0.029
1123,0.2
1124,0.158
1125,0.121
1126,0.127
1127,1.75
1128,0.101
1129,0.096
1130,0.199
1131,0.109
1132,0.08
1133,0.059
1134,0.09
1135,0.053
1136,0.197
1137,0.053
1138,0.184
1139,0.267
1140,0.115
1141,0.234
1142,0.157
1143,0.234
1144,0.125
1145,0.172
1146,2.082
1147,0.766
1148,0.277
1149,0.292
1150,0.067
1151,0.09
1152,0.207
1153,0.017
1154,0.023
1155,0.205
1156,0.112
1157,0.059
1158,0.033
1159,0.128
1160,0.093
1161,0.124
1162,0.021
1163,0.089
1164,0.204
1165,0.146
1166,0.051
1167,0.106
1168,0.126
1169,0.054
1170,0.182
1171,0.135
1172,0.153
1173,0.069
1174,0.093
1175,0.049
1176,0.016
1177,0.043
1178,0.144
1179,0.185
1180,0.03
1181,0.093
1182,0.157
1183,0.106
1184,0.057
1185,0.176
1186,0.05
1187,0.079
1188,0.061
1189,0.871
1190,0.115
1191,0.173
1192,0.079
1193,0.085
1194,0.174
1195,0.277
1196,0.066
1197,0.179
1198,0.249
1199,0.155
1200,0.068
1201,0.077
1202,0.191
1203,0.002
1204,0.032
1205,0.139
1206,0.106
1207,0.102
1208,0.085
1209,0.102
1210,0.142
1211,0.21
1212,0.065
1213,0.05
1214,0.033
1215,0.218
1216,0.037
1217,0.083
1218,0.114
1219,0.266
1220,0.13
1221,0.095
1222,0.188
1223,0.006
1224,0.069
1225,0.197
1226,0.003
1227,0.177
1228,0.039
1229,0.09
1230,0.093
1231,0.234
1232,0.029
1233,0.026
1234,0.159
1235,0.198
1236,0.147
1237,0.014
1238,0.013
1239,1.482
1240,0.12
1241,1.05
1242,0.211
1243,0.037
1244,0.244
1245,0.086
1246,0.189
1247,0.049
1248,0.111
1249,0.137
1250,2.264
1251,0.161
1252,0.05
1253,0.131
1254,0.087
1255,0.044
1256,0.184
1257,0.007
1258,0.114
1259,0.185
1260,0.146
1261,0.211
1262,0.021
1263,0.139
1264,0.131
1265,0.134
1266,0.002
1267,0.173
1268,0.212
1269,0.091
1270,0.247
1271,0.174
1272,0.134
1273,0.029
1274,0.121
1275,0.153
1276,0.09
1277,0.045
1278,0.019
1279,0.044
1280,0.016
1281,0.027
1282,0.1
1283,0.115
1284,0.031
1285,0.048
1286,0.156
1287,0.124
1288,0.055
1289,0.135
1290,0.011
1291,0.063
1292,0.135
1293,0.172
1294,0.125
1295,0.17
1296,0.095
1297,0.106
1298,0.136
1299,0.147
1300,0.04
1301,0.154
1302,0.081
1303,0.096
1304,0.023
1305,0.004
1306,0.226
1307,0.182
1308,0.147
1309,0.285
1310,0.162
1311,0.22
1312,0.051
1313,0.198
1314,0.221
1315,0.248
1316,3.252
1317,0.352
1318,0.182
1319,0.082
1320,0.094
1321,0.187
1322,0.112
1323,0.143
1324,0.141
1325,0.049
1326,0.054
1327,0.088
1328,0.147
1329,0.1
1330,0.188
1331,0.124
1332,0.148
1333,0.076
1334,0.194
1335,0.045
1336,0.093
1337,0.165
1338,0.095
1339,0.003
1340,0.07
1341,0.083
1342,0.081
1343,0.115
1344,0.177
1345,0.061
1346,0.082
1347,0.194
1348,0.086
1349,0.198
1350,0.142
1351,0.16
1352,1.645
1353,0.136
1354,0.002
1355,0.167
1356,0.187
1357,0.188
1358,0.087
1359,0.222
1360,0.208
1361,0.005
1362,0.079
1363,3.128
1364,0.103
1365,0.21
1366,0.069
1367,0.106
1368,0.03
1369,0.032
1370,0.024
1371,0.151
1372,0.034
1373,0.171
1374,0.151
1375,0.101
1376,0.144
1377,0.102
1378,0.22
1379,0.003
1380,0.087
1381,0.002
1382,0.057
1383,0.066
1384,0.191
1385,0.041
1386,0.185
1387,0.12
1388,0.072
1389,0.285
1390,0.069
1391,0.145
1392,0.146
1393,0.18
1394,0.035
1395,0.083
1396,0.117
1397,0.031
1398,0.148
1399,0.21
1400,0.104
1401,0.073
1402,0.189
1403,0.057
1404,0.002
1405,0.178
1406,0.148
1407,0.179
1408,3.119
1409,0.035
1410,0.005
1411,2.228
1412,0.257
1413,0.227
1414,0.201
1415,0.184
1416,0.121
1417,0.147
1418,0.108
1419,0.035
1420,0.144
1421,0.107
1422,0.094
1423,0.14
1424,0.012
1425,0.056
1426,0.08
1427,0.076
1428,0.053
1429,0.054
1430,0.003
1431,0.085
1432,0.057
1433,0.021
1434,0.032
1435,0.217
1436,0.09
1437,0.185
1438,0.175
1439,0.089
1440,0.135
1441,0.026
1442,0.119
1443,0.019
1444,0.129
1445,0.963
1446,0.134
1447,0.089
1448,0.04
1449,0.025
1450,0.04
1451,0.037
1452,0.021
1453,0.087
1454,0.069
1455,0.003
1456,0.001
1457,0.093
1458,0.035
1459,0.094
1460,0.08
1461,0.014
1462,0.237
1463,0.06
1464,0.037
1465,0.091
1466,0.026
1467,0.126
1468,0.093
1469,0.01
1470,0.002
1471,0.043
1472,0.077
1473,0.163
1474,0.055
1475,0.058
1476,0.181
1477,0.093
1478,3.046
1479,1.08
1480,0.03
1481,0.209
1482,0.081
1483,2.214
1484,0.155
1485,0.001
1486,0.133
1487,0.017
1488,0.009
1489,0.147
1490,0.105
1491,0.003
1492,0.123
1493,0.131
1494,0.012
1495,0.116
1496,0.079
1497,0.091
1498,0.138
1499,0.035
1500,0.12
1501,0.143
1502,0.016
1503,0.048
1504,0.088
1505,0.088
1506,0.143
1507,0.13
1508,0.076
1509,0.128
1510,0.092
1511,0.083
1512,0.077
1513,0.136
1514,0.134
1515,0.106
1516,0.068
1517,0.105
1518,0.072
1519,0.065
1520,0.039
1521,0.033
1522,0.037
1523,0.006
1524,0.026
1525,0.04
1526,0.036
1527,0.012
1528,0.085
1529,0.032
1530,0.093
1531,2.249
1532,0.07
1533,0.024
1534,2.085
1535,2.318
1536,0.145
1537,0.117
1538,0.063
1539,0.117
1540,1.263
1541,0.071
1542,0.139
1543,0.205
1544,0.049
1545,0.024
1546,0.007
1547,0.02
1548,0.104
1549,0.03
1550,0.102
1551,0.06
1552,0.089
1553,0.038
1554,0.057
1555,0.021
1556,0.136
1557,0.09
1558,0.21
1559,0.134
1560,0.138
1561,0.145
1562,0.011
1563,0.038
1564,0.017
1565,0.029
1566,1.99
1567,0.087
1568,0.036
1569,0.059
1570,0.066
1571,0.104
1572,0.057
1573,0.025
1574,0.002
1575,0.065
1576,0.107
1577,0.06
1578,0.095
1579,0.163
1580,0.576
1581,0.212
1582,0.233
1583,0.085
1584,0.025
1585,2.436
1586,0.016
1587,0.123
1588,0.077
1589,0.066
1590,0.13
1591,0.174
1592,0.039
1593,0.099
1594,1.528
1595,0.009
1596,0.015
1597,0.011
1598,0.061
1599,0.032
1600,0.021
1601,0.017
1602,1.102
1603,0.018
1604,1.051
1605,0.186
1606,0.11
1607,0.13
1608,0.082
1609,0.066
1610,0.122
1611,0.046
1612,0.008
1613,0.076
1614,0.045
1615,0.109
1616,0.097
1617,0.097
1618,0.093
1619,0.055
1620,0.007
1621,0.106
1622,0.053
1623,0.083
1624,0.003
1625,0.388
1626,0.099
1627,0.06
1628,0.148
1629,0.022
1630,0.195
1631,0.081
1632,0.035
1633,0.081
1634,0.142
1635,0.033
1636,0.029
1637,0.051
1638,0.077
1639,0.216
1640,0.194
1641,0.111
1642,0.1
1643,0.122
1644,0.248
1645,0.206
1646,3.098
1647,0.982
1648,0.038
1649,0.025
1650,0.041
1651,0.02
1652,0.206
1653,0.042
1654,0.107
1655,0.008
1656,0.147
1657,0.056
1658,0.069
1659,0.043
1660,0.041
1661,0.124
1662,0.127
1663,0.119
1664,0.079
1665,0.091
1666,0.077
1667,0.05
1668,0.134
1669,0.021
1670,0.087
1671,0.138
1672,0.008
1673,0.145
1674,0.133
1675,0.134
1676,0.087
1677,0.127
1678,0.032
1679,0.065
1680,0.019
1681,0.005
1682,0.029
1683,0.089
1684,0.002
1685,0.056
1686,0.114
1687,0.028
1688,0.04
1689,0.087
1690,0.005
1691,0.085
1692,0.036
1693,0.072
1694,0.029
1695,0.007
1696,0.083
1697,0.058
1698,0.064
1699,0.2
1700,0.041
1701,0.158
1702,0.145
1703,0.072
1704,0.055
1705,0.136
1706,0.023
1707,0.028
1708,0.027
1709,0.037
1710,0.02
1711,0.178
1712,0.053
1713,0.046
1714,0.041
1715,2.51
1716,0.105
1717,0.061
1718,0.058
1719,0.049
1720,0.089
1721,0.018
1722,0.078
1723,0.186
1724,0.164
1725,0.219
1726,0.249
1727,0.144
1728,0.11
1729,0.011
1730,0.043
1731,0.099
1732,0.09
1733,2.091
1734,0.062
1735,0.199
1736,0.028
1737,0.048
1738,0.016
1739,0.103
1740,0.041
1741,0.056
1742,0.065
1743,0.033
1744,0.041
1745,0.001
1746,0.047
1747,0.243
1748,0.21
1749,0.124
1750,0.187
1751,0.128
1752,0.061
1753,0.139
1754,0.052
1755,0.079
1756,0.002
1757,0.01
1758,0.129
1759,0.042
1760,0.101
1761,0.072
1762,0.081
1763,0.079
1764,0.031
1765,0.062
1766,0.106
1767,0.046
1768,0.024
1769,0.053
1770,0.065
1771,0.147
1772,0.095
1773,0.132
1774,0.164
1775,0.104
1776,0.081
1777,0.033
1778,0.053
1779,0.07
1780,1.496
1781,0.131
1782,0.086
1783,0.22
1784,0.164
1785,0.687
1786,0.089
1787,0.053
1788,0.024
1789,0.02
1790,0.032
1791,0.089
1792,0.049
1793,0.106
1794,0.019
1795,0.041
1796,0.158
1797,2.144
1798,0.199
1799,0.126
1800,0.141
1801,0.122
1802,0.082
1803,0.076
1804,0.021
1805,0.146
1806,0.09
1807,0.199
1808,0.022
1809,0.057
1810,0.194
1811,2.793
1812,0.066
1813,0.239
1814,1.68
1815,0.027
1816,1.992
1817,0.204
1818,0.2
1819,0.206
1820,0.168
1821,0.096
1822,0.241
1823,0.144
1824,0.091
1825,0.005
1826,0.099
1827,0.041
1828,0.144
1829,0.118
1830,0.026
1831,0.146
1832,0.132
1833,0.101
1834,0.038
1835,0.049
1836,0.04
1837,0.028
1838,0.051
1839,0.131
1840,0.015
1841,0.007
1842,2.969
1843,0.071
1844,0.138
1845,0.104
1846,0.003
1847,0.142
1848,0.07
1849,0.024
1850,0.05
1851,0.064
1852,0.079
1853,0.016
1854,0.062
1855,0.25
1856,0.093
1857,0.077
1858,0.067
1859,0.069
1860,0.024
1861,0.097
1862,0.015
1863,0.027
1864,0.074
1865,0.049
1866,0.017
1867,0.188
1868,0.111
1869,0.157
1870,0.243
1871,0.084
1872,0.095
1873,0.042
1874,0.136
1875,0.139
1876,0.069
1877,0.016
1878,0.082
1879,0.224
1880,0.08
1881,0.062
1882,0.099
1883,0.003
1884,0.063
1885,0.08
1886,0.051
1887,2.267
1888,0.078
1889,0.102
1890,0.012
1891,0.221
1892,1.29
1893,0.203
1894,0.123
1895,0.045
1896,0.043
1897,0.058
1898,0.085
1899,0.117
1900,0.119
1901,0.092
1902,0.1
1903,0.243
1904,0.097
1905,0.091
1906,0.03
1907,0.071
1908,0.095
1909,0.106
1910,0.017
1911,0.094
1912,0.034
1913,0.003
1914,0.012
1915,0.241
1916,0.017
1917,0.247
1918,0.088
1919,0.104
1920,0.075
1921,0.06
1922,0.062
1923,0.061
1924,0.051
1925,0.082
1926,0.103
1927,0.113
1928,0.069
1929,0.029
1930,0.016
1931,0.032
1932,0.059
1933,0.042
1934,0.024
1935,0.095
1936,0.016
1937,0.041
1938,0.091
1939,0.114
1940,0.071
1941,0.093
1942,0.141
1943,0.035
1944,2.391
1945,0.016
1946,0.001
1947,0.037
1948,0.035
1949,0.086
1950,0.025
1951,0.164
1952,0.082
1953,0.012
1954,0.106
1955,0.088
1956,1.356
1957,0.076
1958,0.035
1959,0.038
1960,0.103
1961,0.012
1962,0.06
1963,0.009
1964,0.248
1965,0.219
1966,0.018
1967,0.036
1968,0.095
1969,0.124
1970,0.143
1971,0.032
1972,0.107
1973,0.059
1974,1.318
1975,0.033
1976,0.212
1977,0.187
1978,0.135
1979,0.194
1980,0.058
1981,0.173
1982,0.237
1983,0.055
1984,0.176
1985,0.241
1986,0.166
1987,0.139
1988,0.215
1989,0.013
1990,0.181
1991,0.128
1992,0.132
1993,0.023
1994,0.069
1995,0.037
1996,0.119
1997,0.059
1998,0.051
1999,0.055
2000,0.101
2001,0.138
2002,0.132
2003,0.1
2004,0.114
2005,0.209
2006,0.142
2007,0.118
2008,0.1
2009,0.056
2010,0.097
2011,0.083
2012,0.126
2013,0.073
2014,0.124
2015,0.05
2016,0.085
2017,0.082
2018,0.144
2019,0.054
2020,0.099
2021,0.022
2022,0.144
2023,0.014
2024,0.092
2025,0.067
2026,0.103
2027,0.04
2028,0.069
2029,0.072
2030,0.004
2031,0.09
2032,0.06
2033,0.061
2034,0.08
2035,0.141
2036,0.165
2037,0.164
2038,0.245
2039,1.997
2040,0.051
2041,0.046
2042,0.041
2043,0.105
2044,0.092
2045,0.02
2046,0.094
2047,0.039
2048,0.062
2049,0.068
2050,0.098
2051,0.038
2052,0.101
2053,0.002
2054,0.09
2055,0.1
2056,0.018
2057,0.005
2058,0.011
2059,0.231
2060,0.156
2061,0.182
2062,0.163
2063,0.11
2064,0.11
2065,0.065
2066,0.126
2067,0.01
2068,0.006
2069,0.053
2070,0.106
2071,0.008
2072,0.082
2073,0.045
2074,0.073
2075,0.042
2076,0.085
2077,0.1
2078,0.068
2079,0.053
2080,0.011
2081,0.082
2082,0.009
2083,0.227
2084,0.125
2085,0.181
2086,0.048
2087,0.591
2088,0.063
2089,0.116
2090,0.08
2091,0.02
2092,0.135
2093,0.061
2094,0.108
2095,0.041
2096,0.046
2097,0.067
2098,0.042
2099,0.007
2100,0.093
2101,0.097
2102,0.096
2103,0.097
2104,0.031
2105,0.005
2106,0.066
2107,0.227
2108,0.161
2109,2.765
2110,0.208
2111,0.051
2112,0.085
2113,0.082
2114,0.071
2115,0.126
2116,0.039
2117,0.109
2118,0.005
2119,0.201
2120,0.793
2121,1.201
2122,0.08
2123,0.104
2124,0.025
2125,0.105
2126,0.073
2127,0.008
2128,0.081
2129,0.01
2130,0.01
2131,3.114
2132,0.155
2133,0.189
2134,0.195
2135,0.011
2136,0.114
2137,0.027
2138,0.091
2139,0.045
2140,0.025
2141,0.024
